service_time,arrival_time        ,inter_arrival_time,time_service_begins,queue_wait_time     ,time_service_ends,time_in_system,server_idle_time
1548.3      ,0.0                 ,1548.3            ,1548.3             ,0.0                 ,1553.27          ,4.97          ,10.309999999999945
1557.63     ,0.0                 ,1557.63           ,1557.63            ,0.0                 ,1562.49          ,4.86          ,4.360000000000127
1574.07     ,0.0                 ,1574.07           ,1574.07            ,0.0                 ,1578.5           ,4.43          ,11.579999999999927
1582.87     ,0.0                 ,1582.87           ,1582.87            ,0.0                 ,1586.81          ,3.94          ,4.369999999999891
1589.16     ,0.0                 ,1589.16           ,1589.16            ,0.0                 ,1593.91          ,4.75          ,2.3500000000001364
1595.35     ,0.0                 ,1595.35           ,1595.35            ,0.0                 ,1600.0           ,4.65          ,1.4399999999998272
1605.25     ,0.0                 ,1605.25           ,1605.25            ,0.0                 ,1609.64          ,4.39          ,5.25
1617.07     ,0.0                 ,1617.07           ,1617.07            ,0.0                 ,1621.82          ,4.75          ,7.429999999999836
1621.82     ,3.619999999999891   ,1618.2            ,1621.82            ,3.619999999999891   ,1626.32          ,8.12          ,0.0
1632.22     ,0.0                 ,1632.22           ,1632.22            ,0.0                 ,1636.87          ,4.65          ,5.900000000000091
1640.8      ,0.0                 ,1640.8            ,1640.8             ,0.0                 ,1644.65          ,3.85          ,3.9300000000000637
1648.68     ,0.0                 ,1648.68           ,1648.68            ,0.0                 ,1652.91          ,4.23          ,4.029999999999973
1653.45     ,0.0                 ,1653.45           ,1653.45            ,0.0                 ,1657.38          ,3.93          ,0.5399999999999636
1666.28     ,0.0                 ,1666.28           ,1666.28            ,0.0                 ,1671.28          ,5.0           ,8.899999999999864
1675.21     ,0.0                 ,1675.21           ,1675.21            ,0.0                 ,1680.01          ,4.8           ,3.9300000000000637
1682.28     ,0.0                 ,1682.28           ,1682.28            ,0.0                 ,1687.27          ,4.99          ,2.269999999999982
1688.02     ,0.0                 ,1688.02           ,1688.02            ,0.0                 ,1691.99          ,3.97          ,0.75
1700.32     ,0.0                 ,1700.32           ,1700.32            ,0.0                 ,1704.45          ,4.13          ,8.329999999999927
1712.09     ,0.0                 ,1712.09           ,1712.09            ,0.0                 ,1716.81          ,4.72          ,7.639999999999873
1720.53     ,0.0                 ,1720.53           ,1720.53            ,0.0                 ,1725.19          ,4.66          ,3.7200000000000273
1730.2      ,0.0                 ,1730.2            ,1730.2             ,0.0                 ,1735.14          ,4.94          ,5.009999999999991
1735.14     ,3.150000000000091   ,1731.99           ,1735.14            ,3.150000000000091   ,1740.09          ,8.1           ,0.0
1747.3      ,0.0                 ,1747.3            ,1747.3             ,0.0                 ,1752.28          ,4.98          ,7.210000000000036
1752.28     ,3.9200000000000728  ,1748.36           ,1752.28            ,3.9200000000000728  ,1757.23          ,8.87          ,0.0
1757.23     ,1.3199999999999363  ,1755.91           ,1757.23            ,1.3199999999999363  ,1762.2           ,6.29          ,0.0
1762.2      ,0.21000000000003638 ,1761.99           ,1762.2             ,0.21000000000003638 ,1767.16          ,5.17          ,0.0
1769.17     ,0.0                 ,1769.17           ,1769.17            ,0.0                 ,1773.82          ,4.65          ,2.009999999999991
1781.97     ,0.0                 ,1781.97           ,1781.97            ,0.0                 ,1786.46          ,4.49          ,8.150000000000091
1791.73     ,0.0                 ,1791.73           ,1791.73            ,0.0                 ,1796.61          ,4.88          ,5.269999999999982
1796.61     ,0.05999999999994543 ,1796.55           ,1796.61            ,0.05999999999994543 ,1801.47          ,4.92          ,0.0
1803.53     ,0.0                 ,1803.53           ,1803.53            ,0.0                 ,1808.53          ,5.0           ,2.0599999999999454
1816.78     ,0.0                 ,1816.78           ,1816.78            ,0.0                 ,1821.72          ,4.94          ,8.25
1828.48     ,0.0                 ,1828.48           ,1828.48            ,0.0                 ,1832.95          ,4.47          ,6.759999999999991
1843.05     ,0.0                 ,1843.05           ,1843.05            ,0.0                 ,1846.97          ,3.92          ,10.099999999999909
1851.45     ,0.0                 ,1851.45           ,1851.45            ,0.0                 ,1856.34          ,4.89          ,4.480000000000018
1864.35     ,0.0                 ,1864.35           ,1864.35            ,0.0                 ,1868.26          ,3.91          ,8.009999999999991
1877.48     ,0.0                 ,1877.48           ,1877.48            ,0.0                 ,1881.5           ,4.02          ,9.220000000000027
1888.94     ,0.0                 ,1888.94           ,1888.94            ,0.0                 ,1893.34          ,4.4           ,7.440000000000055
1893.34     ,4.0499999999999545  ,1889.29           ,1893.34            ,4.0499999999999545  ,1898.33          ,9.04          ,0.0
1900.08     ,0.0                 ,1900.08           ,1900.08            ,0.0                 ,1904.81          ,4.73          ,1.75
1909.26     ,0.0                 ,1909.26           ,1909.26            ,0.0                 ,1914.15          ,4.89          ,4.4500000000000455
1918.62     ,0.0                 ,1918.62           ,1918.62            ,0.0                 ,1923.32          ,4.7           ,4.4699999999998
1923.32     ,1.759999999999991   ,1921.56           ,1923.32            ,1.759999999999991   ,1928.2           ,6.64          ,0.0
1928.2      ,1.8300000000001546  ,1926.37           ,1928.2             ,1.8300000000001546  ,1932.42          ,6.05          ,0.0
1936.55     ,0.0                 ,1936.55           ,1936.55            ,0.0                 ,1941.54          ,4.99          ,4.129999999999882
1946.86     ,0.0                 ,1946.86           ,1946.86            ,0.0                 ,1951.1           ,4.24          ,5.319999999999936
1957.41     ,0.0                 ,1957.41           ,1957.41            ,0.0                 ,1962.39          ,4.98          ,6.310000000000173
1964.52     ,0.0                 ,1964.52           ,1964.52            ,0.0                 ,1969.08          ,4.56          ,2.1299999999998818
1974.79     ,0.0                 ,1974.79           ,1974.79            ,0.0                 ,1979.28          ,4.49          ,5.710000000000036
1984.86     ,0.0                 ,1984.86           ,1984.86            ,0.0                 ,1989.67          ,4.81          ,5.579999999999927
1997.47     ,0.0                 ,1997.47           ,1997.47            ,0.0                 ,2002.22          ,4.75          ,7.7999999999999545
2007.23     ,0.0                 ,2007.23           ,2007.23            ,0.0                 ,2011.11          ,3.88          ,5.009999999999991
2020.19     ,0.0                 ,2020.19           ,2020.19            ,0.0                 ,2024.78          ,4.59          ,9.080000000000155
2031.03     ,0.0                 ,2031.03           ,2031.03            ,0.0                 ,2035.21          ,4.18          ,6.25
2035.68     ,0.0                 ,2035.68           ,2035.68            ,0.0                 ,2040.66          ,4.98          ,0.4700000000000273
2046.18     ,0.0                 ,2046.18           ,2046.18            ,0.0                 ,2051.12          ,4.94          ,5.519999999999982
2061.11     ,0.0                 ,2061.11           ,2061.11            ,0.0                 ,2065.41          ,4.3           ,9.990000000000236
2070.79     ,0.0                 ,2070.79           ,2070.79            ,0.0                 ,2075.67          ,4.88          ,5.380000000000109
2087.9      ,0.0                 ,2087.9            ,2087.9             ,0.0                 ,2091.89          ,3.99          ,12.230000000000018
2097.75     ,0.0                 ,2097.75           ,2097.75            ,0.0                 ,2102.35          ,4.6           ,5.860000000000127
2112.81     ,0.0                 ,2112.81           ,2112.81            ,0.0                 ,2116.79          ,3.98          ,10.460000000000036
2118.22     ,0.0                 ,2118.22           ,2118.22            ,0.0                 ,2122.48          ,4.26          ,1.4299999999998363
2129.18     ,0.0                 ,2129.18           ,2129.18            ,0.0                 ,2133.29          ,4.11          ,6.699999999999818
2136.05     ,0.0                 ,2136.05           ,2136.05            ,0.0                 ,2140.53          ,4.48          ,2.7600000000002183
2144.62     ,0.0                 ,2144.62           ,2144.62            ,0.0                 ,2149.62          ,5.0           ,4.089999999999691
2154.01     ,0.0                 ,2154.01           ,2154.01            ,0.0                 ,2158.58          ,4.57          ,4.390000000000327
2164.01     ,0.0                 ,2164.01           ,2164.01            ,0.0                 ,2168.83          ,4.82          ,5.430000000000291
2175.25     ,0.0                 ,2175.25           ,2175.25            ,0.0                 ,2179.29          ,4.04          ,6.420000000000073
2184.21     ,0.0                 ,2184.21           ,2184.21            ,0.0                 ,2188.85          ,4.64          ,4.920000000000073
2197.61     ,0.0                 ,2197.61           ,2197.61            ,0.0                 ,2202.01          ,4.4           ,8.760000000000218
2207.59     ,0.0                 ,2207.59           ,2207.59            ,0.0                 ,2212.41          ,4.82          ,5.579999999999927
2212.41     ,1.0299999999997453  ,2211.38           ,2212.41            ,1.0299999999997453  ,2217.28          ,5.9           ,0.0
2225.74     ,0.0                 ,2225.74           ,2225.74            ,0.0                 ,2230.51          ,4.77          ,8.459999999999582
2233.09     ,0.0                 ,2233.09           ,2233.09            ,0.0                 ,2237.73          ,4.64          ,2.5799999999999272
2246.37     ,0.0                 ,2246.37           ,2246.37            ,0.0                 ,2251.21          ,4.84          ,8.639999999999873
2252.75     ,0.0                 ,2252.75           ,2252.75            ,0.0                 ,2257.41          ,4.66          ,1.5399999999999636
2261.34     ,0.0                 ,2261.34           ,2261.34            ,0.0                 ,2265.56          ,4.22          ,3.930000000000291
2268.25     ,0.0                 ,2268.25           ,2268.25            ,0.0                 ,2273.21          ,4.96          ,2.6900000000000546
2278.48     ,0.0                 ,2278.48           ,2278.48            ,0.0                 ,2283.32          ,4.84          ,5.269999999999982
2283.32     ,0.40000000000009095 ,2282.92           ,2283.32            ,0.40000000000009095 ,2287.63          ,4.71          ,0.0
2290.77     ,0.0                 ,2290.77           ,2290.77            ,0.0                 ,2295.77          ,5.0           ,3.1399999999998727
2299.29     ,0.0                 ,2299.29           ,2299.29            ,0.0                 ,2304.1           ,4.81          ,3.519999999999982
2308.48     ,0.0                 ,2308.48           ,2308.48            ,0.0                 ,2313.41          ,4.93          ,4.380000000000109
2314.93     ,0.0                 ,2314.93           ,2314.93            ,0.0                 ,2318.95          ,4.02          ,1.5199999999999818
2327.43     ,0.0                 ,2327.43           ,2327.43            ,0.0                 ,2332.41          ,4.98          ,8.480000000000018
